data,water_level
22-06-2019,398
23-06-2019,374
24-06-2019,364
25-06-2019,353
26-06-2019,345
27-06-2019,332
28-06-2019,315
29-06-2019,296
30-06-2019,266
01-07-2019,244
02-07-2019,216
03-07-2019,186
04-07-2019,154
05-07-2019,125
06-07-2019,101
07-07-2019,79
08-07-2019,58
09-07-2019,47
10-07-2019,42
11-07-2019,36
12-07-2019,30
13-07-2019,23
14-07-2019,17
15-07-2019,21
16-07-2019,15
17-07-2019,11
18-07-2019,-5
19-07-2019,-29
20-07-2019,-31
21-07-2019,-16
22-07-2019,3
23-07-2019,14
24-07-2019,8
25-07-2019,-5
26-07-2019,-16
27-07-2019,-26
28-07-2019,-38
29-07-2019,-50
30-07-2019,-50
31-07-2019,-23
01-08-2019,12
02-08-2019,24
03-08-2019,20
04-08-2019,-2
05-08-2019,-30
06-08-2019,-62
07-08-2019,-90
08-08-2019,-116
09-08-2019,-137
10-08-2019,-157
11-08-2019,-173
12-08-2019,-185
13-08-2019,-197
14-08-2019,-208
15-08-2019,-220
16-08-2019,-224
17-08-2019,-229
18-08-2019,-235
19-08-2019,-243
20-08-2019,-243
21-08-2019,-241
22-08-2019,-231
23-08-2019,-213
24-08-2019,-194
25-08-2019,-178
26-08-2019,-168
27-08-2019,-165
28-08-2019,-167
29-08-2019,-167
30-08-2019,-167
31-08-2019,-168
01-09-2019,-174
02-09-2019,-180
03-09-2019,-183
04-09-2019,-182
05-09-2019,-183
06-09-2019,-187
07-09-2019,-192
08-09-2019,-197
09-09-2019,-199
10-09-2019,-203
11-09-2019,-207
12-09-2019,-213
13-09-2019,-217
14-09-2019,-222
15-09-2019,-224
16-09-2019,-230
17-09-2019,-220
18-09-2019,-201
19-09-2019,-187
20-09-2019,-144
21-09-2019,-131
22-09-2019,-105
23-09-2019,-89
24-09-2019,-75
25-09-2019,-66
26-09-2019,-66
27-09-2019,-74
28-09-2019,-74
29-09-2019,-81
30-09-2019,-79
01-10-2019,-78
02-10-2019,-72
03-10-2019,-68
04-10-2019,-65
05-10-2019,-66
06-10-2019,-70
07-10-2019,-78
08-10-2019,-80
09-10-2019,-85
10-10-2019,-91
11-10-2019,-101
12-10-2019,-106
13-10-2019,-112
14-10-2019,-121
15-10-2019,-131
16-10-2019,-136
17-10-2019,-146
18-10-2019,-156
19-10-2019,-166
20-10-2019,-176
21-10-2019,-187
22-10-2019,-198
23-10-2019,-198
24-10-2019,-199
25-10-2019,-208
26-10-2019,-222
27-10-2019,-224
28-10-2019,-225
29-10-2019,-233
30-10-2019,-240
31-10-2019,-261
01-11-2019,-292
02-11-2019,-287
03-11-2019,-286
04-11-2019,-277
05-11-2019,-254
06-11-2019,-148
07-11-2019,-162
08-11-2019,-164
09-11-2019,-157
10-11-2019,-161
11-11-2019,-171
12-11-2019,-177
13-11-2019,-184
14-11-2019,-187
15-11-2019,-191
16-11-2019,-204
17-11-2019,-219
18-11-2019,-228
19-11-2019,-232
20-11-2019,-237
21-11-2019,-240
22-11-2019,-243
23-11-2019,-248
24-11-2019,-263
25-11-2019,-270
26-11-2019,-266
27-11-2019,-263
28-11-2019,-258
29-11-2019,-254
30-11-2019,-250
01-12-2019,-245
02-12-2019,-241
03-12-2019,-240
04-12-2019,-240
05-12-2019,-242
06-12-2019,-245
07-12-2019,-248
08-12-2019,-251
09-12-2019,-252
10-12-2019,-251
11-12-2019,-250
12-12-2019,-247
13-12-2019,-242
14-12-2019,-237
15-12-2019,-233
16-12-2019,-229
17-12-2019,-225
18-12-2019,-221
19-12-2019,-219
20-12-2019,-216
21-12-2019,-216
22-12-2019,-215
23-12-2019,-215
24-12-2019,-216
25-12-2019,-216
26-12-2019,-216
27-12-2019,-217
28-12-2019,-217
29-12-2019,-218
30-12-2019,-218
31-12-2019,-218
16-04-2020,-328
17-04-2020,-327
20-04-2020,-324
21-04-2020,-323
22-04-2020,-323
23-04-2020,-319
24-04-2020,-318
25-04-2020,-315
26-04-2020,-309
27-04-2020,-305
28-04-2020,-299
29-04-2020,-290
30-04-2020,-278
01-05-2020,-262
02-05-2020,-235
03-05-2020,-194
04-05-2020,-143
05-05-2020,-102
06-05-2020,-53
07-05-2020,-11
08-05-2020,23
09-05-2020,97
10-05-2020,269
11-05-2020,362
12-05-2020,645
13-05-2020,778
14-05-2020,854
15-05-2020,816
16-05-2020,619
17-05-2020,504
18-05-2020,408
19-05-2020,361
20-05-2020,351
21-05-2020,322
22-05-2020,309
23-05-2020,325
24-05-2020,364
25-05-2020,384
26-05-2020,384
27-05-2020,371
28-05-2020,359
29-05-2020,355
30-05-2020,354
31-05-2020,362
01-06-2020,377
02-06-2020,401
03-06-2020,428
04-06-2020,432
05-06-2020,419
06-06-2020,396
07-06-2020,366
08-06-2020,332
09-06-2020,303
10-06-2020,285
11-06-2020,277
12-06-2020,277
13-06-2020,282
14-06-2020,296
15-06-2020,327
16-06-2020,352
17-06-2020,369
18-06-2020,381
19-06-2020,393
20-06-2020,400
21-06-2020,396
22-06-2020,389
23-06-2020,385
24-06-2020,394
25-06-2020,400
26-06-2020,399
27-06-2020,386
28-06-2020,371
29-06-2020,352
30-06-2020,340
01-07-2020,331
02-07-2020,314
03-07-2020,294
04-07-2020,276
05-07-2020,260
06-07-2020,244
07-07-2020,232
08-07-2020,217
09-07-2020,204
10-07-2020,187
11-07-2020,169
12-07-2020,152
13-07-2020,135
14-07-2020,122
15-07-2020,104
16-07-2020,87
17-07-2020,73
18-07-2020,60
19-07-2020,50
20-07-2020,37
21-07-2020,26
22-07-2020,18
23-07-2020,15
24-07-2020,25
25-07-2020,56
26-07-2020,121
27-07-2020,206
28-07-2020,276
29-07-2020,326
30-07-2020,362
31-07-2020,384
01-08-2020,383
02-08-2020,366
03-08-2020,340
04-08-2020,316
05-08-2020,299
06-08-2020,297
07-08-2020,309
08-08-2020,330
09-08-2020,351
10-08-2020,366
11-08-2020,370
12-08-2020,367
13-08-2020,357
14-08-2020,342
15-08-2020,322
16-08-2020,303
17-08-2020,289
18-08-2020,280
20-08-2020,254
21-08-2020,241
22-08-2020,233
23-08-2020,228
24-08-2020,223
25-08-2020,213
26-08-2020,196
27-08-2020,177
28-08-2020,157
29-08-2020,136
30-08-2020,110
31-08-2020,87
01-09-2020,65
02-09-2020,45
03-09-2020,27
04-09-2020,11
05-09-2020,5
06-09-2020,8
07-09-2020,12
08-09-2020,12
09-09-2020,7
10-09-2020,-11
11-09-2020,-21
12-09-2020,-29
13-09-2020,-36
14-09-2020,-43
15-09-2020,-48
16-09-2020,-53
17-09-2020,-60
18-09-2020,-66
19-09-2020,-74
20-09-2020,-82
21-09-2020,-90
22-09-2020,-97
23-09-2020,-104
24-09-2020,-108
25-09-2020,-114
26-09-2020,-120
27-09-2020,-123
28-09-2020,-124
29-09-2020,-118
30-09-2020,-116
01-10-2020,-104
02-10-2020,-93
03-10-2020,-86
04-10-2020,-79
05-10-2020,-66
06-10-2020,-46
08-10-2020,-7
10-10-2020,-2
11-10-2020,-8
12-10-2020,-14
13-10-2020,-20
14-10-2020,-33
15-10-2020,-46
16-10-2020,-61
17-10-2020,-78
19-10-2020,-98
20-10-2020,-114
21-10-2020,-125
22-10-2020,-126
23-10-2020,-136
24-10-2020,-158
25-10-2020,-165
26-10-2020,-171
27-10-2020,-199
28-10-2020,-193
29-10-2020,-173
30-10-2020,-172
01-11-2020,-182
02-11-2020,-195
03-11-2020,-209
05-11-2020,-228
06-11-2020,-228
08-11-2020,-128
09-11-2020,-126
10-11-2020,-121
14-04-2021,-304
15-04-2021,-304
18-04-2021,-304
19-04-2021,-305
20-04-2021,-305
21-04-2021,-305
22-04-2021,-305
26-04-2021,-302
27-04-2021,-301
28-04-2021,-300
29-04-2021,-300
30-04-2021,-298
01-05-2021,-298
02-05-2021,-297
03-05-2021,-295
04-05-2021,-293
05-05-2021,-288
06-05-2021,-285
07-05-2021,-281
08-05-2021,-274
09-05-2021,-253
10-05-2021,-215
11-05-2021,-165
12-05-2021,-109
13-05-2021,-45
14-05-2021,15
15-05-2021,84
16-05-2021,174
17-05-2021,280
18-05-2021,452
19-05-2021,574
20-05-2021,600
21-05-2021,549
22-05-2021,488
23-05-2021,435
24-05-2021,381
25-05-2021,325
26-05-2021,277
27-05-2021,245
28-05-2021,221
29-05-2021,209
30-05-2021,170
31-05-2021,129
01-06-2021,103
02-06-2021,110
03-06-2021,146
04-06-2021,188
05-06-2021,222
06-06-2021,249
07-06-2021,273
08-06-2021,293
09-06-2021,312
10-06-2021,332
11-06-2021,360
12-06-2021,395
13-06-2021,424
14-06-2021,446
15-06-2021,451
16-06-2021,443
17-06-2021,429
18-06-2021,411
19-06-2021,395
20-06-2021,381
21-06-2021,362
22-06-2021,355
23-06-2021,363
24-06-2021,380
25-06-2021,398
27-06-2021,403
28-06-2021,392
29-06-2021,379
30-06-2021,367
01-07-2021,350
02-07-2021,330
03-07-2021,307
04-07-2021,284
05-07-2021,261
06-07-2021,244
07-07-2021,228
08-07-2021,211
09-07-2021,193
10-07-2021,179
11-07-2021,173
12-07-2021,164
13-07-2021,158
14-07-2021,150
15-07-2021,144
16-07-2021,133
17-07-2021,129
18-07-2021,128
19-07-2021,124
20-07-2021,117
21-07-2021,110
22-07-2021,111
23-07-2021,118
24-07-2021,121
25-07-2021,123
26-07-2021,113
27-07-2021,95
28-07-2021,73
29-07-2021,54
30-07-2021,44
31-07-2021,56
01-08-2021,84
02-08-2021,100
03-08-2021,99
04-08-2021,91
05-08-2021,80
06-08-2021,74
07-08-2021,70
08-08-2021,69
09-08-2021,69
10-08-2021,68
11-08-2021,74
12-08-2021,95
13-08-2021,128
14-08-2021,153
15-08-2021,158
16-08-2021,149
17-08-2021,134
18-08-2021,123
19-08-2021,121
20-08-2021,128
21-08-2021,141
22-08-2021,150
23-08-2021,152
24-08-2021,143
25-08-2021,125
26-08-2021,106
27-08-2021,104
28-08-2021,137
29-08-2021,211
30-08-2021,110
31-08-2021,360
01-09-2021,391
02-09-2021,390
03-09-2021,376
04-09-2021,346
05-09-2021,307
06-09-2021,263
07-09-2021,220
08-09-2021,181
09-09-2021,146
10-09-2021,117
11-09-2021,95
12-09-2021,96
13-09-2021,128
14-09-2021,171
15-09-2021,218
16-09-2021,255
17-09-2021,284
18-09-2021,296
19-09-2021,298
20-09-2021,288
21-09-2021,273
22-09-2021,261
23-09-2021,248
24-09-2021,243
25-09-2021,234
26-09-2021,221
28-09-2021,181
29-09-2021,166
01-10-2021,137
02-10-2021,131
03-10-2021,123
04-10-2021,125
05-10-2021,136
06-10-2021,148
07-10-2021,159
08-10-2021,171
09-10-2021,180
10-10-2021,179
11-10-2021,172
12-10-2021,157
13-10-2021,137
18-10-2021,18
27-10-2021,-108
28-10-2021,-116
29-10-2021,-125
01-11-2021,-160
08-11-2021,-236
09-11-2021,-217
10-11-2021,-215
11-11-2021,-208
12-11-2021,-86
15-11-2021,-106
16-11-2021,-111
17-11-2021,-117
18-11-2021,-121
19-11-2021,-131
22-11-2021,-155
